,DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count,Month,Year,Scaled Passenger Count
0,05/03/2021 03:08:02 PM,2021-03-01,Arrival,Domestic,Scheduled Carriers,1128607,3,2021,0.029658506204439022
1,08/01/2021 12:00:23 AM,2021-05-01,Departure,International,Scheduled Carriers,299659,5,2021,0.007874697136129753
2,08/01/2021 12:00:23 AM,2021-06-01,Departure,Domestic,Charter,753,6,2021,1.978798215139777e-05
3,04/10/2021 06:01:03 AM,2021-03-01,Departure,Domestic,Charter,342,3,2021,8.987370379519305e-06
4,04/10/2021 06:01:03 AM,2021-03-01,Arrival,Domestic,Charter,199,3,2021,5.229493291006847e-06
5,08/01/2021 12:00:23 AM,2021-06-01,Arrival,International,Scheduled Carriers,366392,6,2021,0.009628364351148649
6,08/01/2021 12:00:23 AM,2021-06-01,Departure,International,Charter,0,6,2021,0.0
7,05/03/2021 03:08:02 PM,2021-03-01,Departure,Domestic,Scheduled Carriers,1137239,3,2021,0.029885345330509225
8,05/27/2021 03:16:34 PM,2021-04-01,Departure,Domestic,Scheduled Carriers,1323446,4,2021,0.034778653155828385
9,05/27/2021 03:16:34 PM,2021-04-01,Arrival,Domestic,Scheduled Carriers,1326190,4,2021,0.034850762349750604
10,05/10/2021 06:01:09 AM,2021-04-01,Departure,Domestic,Charter,674,4,2021,1.7711952151450326e-05
11,08/01/2021 12:00:23 AM,2021-06-01,Arrival,International,Charter,11,6,2021,2.8906746834711215e-07
12,08/01/2021 12:00:23 AM,2021-06-01,Departure,International,Scheduled Carriers,395086,6,2021,0.01038240998176247
13,08/01/2021 12:00:23 AM,2021-06-01,Arrival,Domestic,Charter,656,6,2021,1.7238932657791417e-05
14,05/10/2021 06:01:09 AM,2021-04-01,Arrival,Domestic,Charter,405,4,2021,1.0642938607325495e-05
15,08/01/2021 12:00:23 AM,2021-06-01,Arrival,Domestic,Commuter,74,6,2021,1.9446356961533e-06
16,12/10/2020 06:01:38 AM,2020-11-01,Arrival,International,Charter,6,11,2020,1.576731645529703e-07
